,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,title,firstActor,actorCategory,newRating,primaryName,keys,show_title
9293,tt5175450,Mark Felt: The Man Who Brought Down the White House,2017,103,BiographyDramaHistory,6.4,13657,PeterLandesman,MarkFelt,The Secret Man - Mark Felt,Liam Neeson,actor,6.218920247303204,LiamNeeson DianeLane MartonCsokas TonyGoldwyn,biographydramahistory peterlandesman markfelt liamneeson dianelane martoncsokas tonygoldwyn,The Secret Man - Mark Felt (2017)
9294,tt0200309,The Tale of Zatoichi Continues,1962,72,ActionAdventureDrama,7.2,2520,KazuoMori,MinoruInuzuka,La légende de Zatoïchi - Le secret,Shintarô Katsu,actor,6.218895348837209,ShintarôKatsu YaekoMizutani MasayoBanri TomisaburôWakayama,actionadventuredrama kazuomori minoruinuzuka shintarôkatsu yaekomizutani masayobanri tomisaburôwakayama,La légende de Zatoïchi - Le secret (1962)
9295,tt9248952,Jawaani Jaaneman,2020,119,ComedyDrama,6.5,8795,NitinKakkar,HussainDalal,Jawaani Jaaneman,Saif Ali Khan,actor,6.218893327415298,SaifAliKhan AlayaF Tabu KumudMishra,comedydrama nitinkakkar hussaindalal saifalikhan alayaf tabu kumudmishra,Jawaani Jaaneman (2020)
9296,tt0794350,I Just Didn't Do It,2006,143,Drama,7.6,1790,MasayukiSuô,MasayukiSuô,Soredemo boku wa yattenai,Ryô Kase,actor,6.218887644643524,RyôKase AsakaSeto KôjiYamamoto MasakoMotai,drama masayukisuô masayukisuô ryôkase asakaseto kôjiyamamoto masakomotai,Soredemo boku wa yattenai (2006)
9297,tt0100602,A Shock to the System,1990,88,ComedyCrimeThriller,6.7,5138,JanEgleson,SimonBrett,Business oblige,Michael Caine,actor,6.218879819496981,MichaelCaine ElizabethMcGovern PeterRiegert SwoosieKurtz,comedycrimethriller janegleson simonbrett michaelcaine elizabethmcgovern peterriegert swoosiekurtz,Business oblige (1990)
9298,tt1022606,Lion's Den,2008,113,CrimeDrama,7.0,3164,PabloTrapero,AlejandroFadel,Leonera,Martina Gusman,actress,6.21886095725039,MartinaGusman GuadalupeRébora FranciscoMarquez RobertoMaciel,crimedrama pablotrapero alejandrofadel martinagusman guadaluperébora franciscomarquez robertomaciel,Leonera (2008)
9299,tt0058500,The Pumpkin Eater,1964,118,Drama,7.2,2519,JackClayton,PenelopeMortimer,Le mangeur de citrouilles,Anne Bancroft,actress,6.218859696936661,AnneBancroft PeterFinch JamesMason JanineGray,drama jackclayton penelopemortimer annebancroft peterfinch jamesmason janinegray,Le mangeur de citrouilles (1964)
9300,tt0055038,"Gas, Inspector Palmu!",1961,99,ComedyCrimeMystery,7.8,1563,MattiKassila,MattiKassila,"Plein gaz, commissaire Palmu",Joel Rinne,actor,6.218853292173325,JoelRinne MattiRanin LeoJokela ElinaSalo,comedycrimemystery mattikassila mattikassila joelrinne mattiranin leojokela elinasalo,"Plein gaz, commissaire Palmu (1961)"
9301,tt5270948,Chappaquiddick,2017,106,BiographyDramaHistory,6.4,13620,JohnCurran,TaylorAllen,Le secret des Kennedy,Jason Clarke,actor,6.21874676333506,JasonClarke KateMara EdHelms BruceDern,biographydramahistory johncurran taylorallen jasonclarke katemara edhelms brucedern,Le secret des Kennedy (2017)
9302,tt14128670,Kimi,2022,89,CrimeDramaThriller,6.3,30364,StevenSoderbergh,DavidKoepp,Kimi,Zoë Kravitz,actress,6.218719745683115,ZoëKravitz ByronBowers RitaWilson ErikaChristensen,crimedramathriller stevensoderbergh davidkoepp zoëkravitz byronbowers ritawilson erikachristensen,Kimi (2022)
9303,tt11930126,Alcarràs,2022,120,AdventureDrama,7.2,2515,CarlaSimón,CarlaSimón,Nos soleils,Jordi Pujol Dolcet,actor,6.218717063419953,JordiPujolDolcet AnnaOtin XèniaRoset AlbertBosch,adventuredrama carlasimón carlasimón jordipujoldolcet annaotin xèniaroset albertbosch,Nos soleils (2022)
